,name,code
500,??ILI,044060
501,???????,036930
502,??????,000440
503,????,054180
504,????,043610
505,????,053050
506,??????,119850
507,?????,036890
508,????8???,222390
509,??????,032500
510,?????,094860
511,????,166480
512,???,060280
513,??????,043590
514,????,214150
515,?????,072520
516,??,200230
517,????,026150
518,????,062860
519,???,046210
520,??,043200
521,?????????,214450
522,???,091700
523,?????,194510
524,????,027710
525,?????????,054300
526,??,222110
527,??????,060900
528,????,032580
529,???,054340
530,?????,031980
531,????,002230
532,?????,221840
533,??4???,240540
534,??????,025770
535,??????,030520
536,??????,046110
537,?????,077280
538,????,170030
539,?????,050090
540,????,024060
541,????,167380
542,?????,176750
543,????????????,285770
544,????,199870
545,???,185190
546,????,236030
547,??,103660
548,??????,189540
549,???????,149010
550,???????,252940
551,??????,251540
552,??????,224760
553,???????,183490
554,??,058970
555,?????,226400
556,?????,121060
557,????,101360
